timestamp,pitch_rad,pitch_rate_rad_s,x_m,x_dot_m_s,action
1780133067.2386668,-0.008609455571169572,-0.000831562173832728,0.0,0.0,"0.3628,-0.5013"
1780133067.2542489,0.00753652951859371,-0.0008082416896883441,0.0,0.0,"-0.5103,0.1629"
1780133067.2697277,-0.00024808754782468245,-0.0008143252959714649,0.0,0.0,"0.0613,-0.0184"
1780133067.2851665,-0.0018107011856757782,-0.0007925257233092301,0.0,0.0,"0.3199,-0.2864"
1780133067.300826,0.03963288592868297,-0.0008148322664655147,0.0,0.0,"0.4135,0.0000"
1780133067.3164763,-0.03454457650668877,-0.0008746543724504337,0.0,0.0,"0.3540,-0.1877"
1780133067.332154,0.029331040042997886,-0.0008853006774990737,0.0,0.0,"0.4299,0.0545"
1780133067.3478773,-0.010076968295846006,-0.0008695847071554124,0.0,0.0,"0.4108,0.3306"
1780133067.3635733,0.0715944112290279,-0.0007808654693433953,0.0,0.0,"0.5658,0.4995"
1780133067.3792505,0.0034089764116461696,-0.0008670498626142586,0.0,0.0,"0.4422,0.0955"
1780133067.3948698,0.05559901699105707,-0.0008193949691955812,0.0,0.0,"0.6955,0.8143"
1780133067.4104915,0.047244689640014964,-0.0009268719685991775,0.0,0.0,"0.6955,0.8143"
1780133067.426124,0.08168861310377354,-0.0009390391653072289,0.0,0.0,"0.6955,0.8143"
1780133067.441949,0.024261385202307417,-0.0008731334768264747,0.0,0.0,"0.6955,0.8143"
1780133067.4576755,0.06721442883820844,-0.000958303948931977,0.0,0.0,"0.6955,0.8143"
1780133067.4735668,0.056417929956420115,-0.0008462642467983138,0.0,0.0,"0.6955,0.8143"
1780133067.489296,0.0203999751344954,-0.0009770617144881037,0.0,0.0,"0.6955,0.8143"
1780133067.50522,-0.05073779915191226,-0.0010130563816927792,0.0,0.0,"0.6955,0.8143"
1780133067.5211046,-0.00971640754746006,-0.0009760477417836229,0.0,0.0,"0.6955,0.8143"
1780133067.5369766,0.038855179683614544,-0.0008832728232747081,0.0,0.0,"0.6955,0.8143"
1780133067.552916,0.018921794740891812,-0.0011129289188347722,0.0,0.0,"0.6955,0.8143"
1780133067.5686796,-0.02276619030237137,-0.0009922707341604535,0.0,0.0,"0.6955,0.8143"
1780133067.5844805,0.037847168411246204,-0.0010231956647082502,0.0,0.0,"0.6955,0.8143"
1780133067.6003854,-0.02578312703751752,-0.0009552620942512972,0.0,0.0,"0.6955,0.8143"
1780133067.616247,-0.03022922680866945,-0.0010591903319129262,0.0,0.0,"0.6955,0.8143"
1780133067.6322217,-0.049144472201675254,-0.0009648944860636713,0.0,0.0,"0.6955,0.8143"
1780133067.648213,0.03643166229504583,-0.0009542482166959598,0.0,0.0,"0.6955,0.8143"
1780133067.66412,0.0031675424583125517,-0.0009709781002758874,0.0,0.0,"0.6955,0.8143"
1780133067.6799762,0.061883395237184974,-0.0009319416735396754,0.0,0.0,"0.6955,0.8143"
1780133067.6957417,-0.037616320816551696,-0.000979089572677017,0.0,0.0,"0.6955,0.8143"
1780133067.7115824,0.03843337849193027,-0.0009664154054749158,0.0,0.0,"0.6955,0.8143"
1780133067.727276,-0.03285155572983503,-0.0009679363010988745,0.0,0.0,"0.6955,0.8143"
1780133067.7431738,0.02865498319552237,-0.0009775686849821535,0.0,0.0,"0.6955,0.8143"
1780133067.758995,-0.0033508108630967287,-0.0009598248366268403,0.0,0.0,"0.6955,0.8143"
1780133067.7748485,-0.016430687346900945,-0.0009461367284366398,0.0,0.0,"0.6955,0.8143"
1780133067.7906415,0.010777379912803387,-0.0008964539530417633,0.0,0.0,"0.6955,0.8143"
1780133067.806359,-0.002515175551849576,-0.0009664153975458205,0.0,0.0,"0.6955,0.8143"
1780133067.8221762,-0.015915402699179692,-0.000899495756183324,0.0,0.0,"0.6955,0.8143"
1780133067.8379629,-0.004387384484957565,-0.0009425879528187557,0.0,0.0,"0.6955,0.8143"
1780133067.8536704,0.031766769472236195,-0.0009608387627478864,0.0,0.0,"0.6955,0.8143"
1780133067.8693244,0.040965666565978276,-0.0009065932994899968,0.0,0.0,"0.6955,0.8143"
1780133067.8851094,0.021362811607098183,-0.0009593178661327908,0.0,0.0,"0.6955,0.8143"
1780133067.9009097,-0.0049165418594342225,-0.0009826383423480794,0.0,0.0,"0.6955,0.8143"
1780133067.9164867,-0.0001190159039330535,-0.0009988612950794337,0.0,0.0,"0.6955,0.8143"
1780133067.9322734,0.02295557400600784,-0.0009496854981077025,0.0,0.0,"0.6955,0.8143"
1780133067.948053,0.02914084628975605,-0.0009613457401798943,0.0,0.0,"0.6955,0.8143"
1780133067.9638534,0.028127937125775118,-0.0009750338483700952,0.0,0.0,"0.6955,0.8143"
1780133067.979473,0.025290702087272313,-0.0009588108877096456,0.0,0.0,"0.6955,0.8143"
1780133067.9951317,0.027003349315029596,-0.0009887219565602955,0.0,0.0,"0.6955,0.8143"
1780133068.0108876,-0.012836215550004727,-0.0009755407871477636,0.0,0.0,"0.6955,0.8143"
1780133068.0267198,0.07997563238262971,-0.0009948055707725118,0.0,0.0,"0.6955,0.8143"
1780133068.0425801,-0.017585575967207695,-0.0009937916615007933,0.0,0.0,"0.6955,0.8143"
1780133068.058315,-0.013415089819509202,-0.0009669223680398701,0.0,0.0,"0.6955,0.8143"
1780133068.073937,0.013019308151903691,-0.0009603317991917952,0.0,0.0,"0.6955,0.8143"
1780133068.089723,-0.0005976450372658093,-0.0009633736221560936,0.0,0.0,"0.6955,0.8143"
1780133068.1055417,-0.012434257137112728,-0.0009714850866281276,0.0,0.0,"0.6955,0.8143"
1780133068.1213255,-0.030753595155565416,-0.0009491785117554624,0.0,0.0,"0.6955,0.8143"
1780133068.137093,0.013152389813582452,-0.0010703436510656398,0.0,0.0,"0.6955,0.8143"
1780133068.1527605,-0.0006501756352363663,-0.0009466436434270226,0.0,0.0,"0.6955,0.8143"
1780133068.1684546,-0.06296976113891029,-0.0009983543483726696,0.0,0.0,"0.6955,0.8143"
1780133068.184209,0.06721494353851314,-0.0009172396085031847,0.0,0.0,"0.6955,0.8143"
1780133068.1998868,-0.018105905904120645,-0.0009288998505753766,0.0,0.0,"0.6955,0.8143"
1780133068.2155914,0.039160333890662036,-0.0008913842877467425,0.0,0.0,"0.6955,0.8143"
1780133068.231359,-0.044076841264023336,-0.0009192674904793838,0.0,0.0,"0.6955,0.8143"
1780133068.247513,-0.011178064218581085,-0.0008249716049846525,0.0,0.0,"0.6955,0.8143"
1780133068.26327,-0.03892442360813974,-0.0008569105240951208,0.0,0.0,"0.6445,0.7102"
1780133068.2790127,0.01973909032477353,-0.0007190154972404673,0.0,0.0,"0.3933,0.2875"
1780133068.2945805,-0.034747082439209535,-0.0008072277566293395,0.0,0.0,"0.6886,0.8018"
1780133068.310351,-0.16741368051249228,-0.0008482920811999411,0.0,0.0,"0.6955,0.8143"
1780133068.3260918,0.015246773129901553,-0.0007834003019909059,0.0,0.0,"0.6955,0.8143"
1780133068.341677,0.04821504720011409,-0.0007631216239614928,0.0,0.0,"0.6302,0.6760"
1780133068.3572876,0.03693584819692029,-0.0008457572445878831,0.0,0.0,"0.5846,0.5480"
1780133068.372882,0.057722944804890125,-0.0009030444981025535,0.0,0.0,"0.6955,0.8143"
1780133068.3883674,0.09693768357428698,-0.001162611614938696,0.0,0.0,"0.6955,0.8143"
1780133068.4039657,0.009676173761370338,-0.0009664154134040111,0.0,0.0,"0.6955,0.8143"
1780133068.4196393,0.015662048098991993,-0.001104310372861354,0.0,0.0,"-0.1147,0.9931"
1780133068.4353392,-0.08556137792567478,-0.001023195728141013,0.0,0.0,"-0.3650,0.9973"
1780133068.4509025,0.050474659935723976,-0.0011093801095182331,0.0,0.0,"0.3575,0.9628"
1780133068.4664905,0.10560554387697924,-0.0010044378357193613,0.0,0.0,"0.6955,0.8143"
1780133068.4820392,-0.0662709672662959,-0.0010495580669660758,0.0,0.0,"0.6955,0.8143"
1780133068.4977207,-0.05321217943197851,-0.001094678044481743,0.0,0.0,"-0.6517,0.9993"
1780133068.5134702,-0.08205273345952636,-0.0011443608674511904,0.0,0.0,"0.0212,0.9890"
1780133068.529054,-0.03018338062448095,-0.0011043104362941161,0.0,0.0,"-0.4119,0.9978"
1780133068.5447066,0.055280005763521545,-0.0012792140990933783,0.0,0.0,"0.6955,0.8143"
1780133068.560143,0.07982464822271551,-0.001206210855412308,0.0,0.0,"0.6955,0.8143"
1780133068.575804,0.007405206637753181,-0.0011463885591291023,0.0,0.0,"0.6955,0.8143"
1780133068.591747,-0.021077720252407728,-0.0008346039730097411,0.0,0.0,"0.6955,0.8143"
1780133068.6078284,-0.01548287674242077,-0.0011418259674063702,0.0,0.0,"0.6955,0.8143"
1780133068.6238601,-0.019697352069826313,-0.0010160981729406965,0.0,0.0,"0.6955,0.8143"
1780133068.6398292,-0.026387103955670843,-0.0009719921046967492,0.0,0.0,"0.6955,0.8143"
1780133068.65635,0.013896722047153864,-0.0009877079521394341,0.0,0.0,"0.6955,0.8143"
1780133068.6725135,0.023617293527719907,-0.0010419534936971396,0.0,0.0,"0.6955,0.8143"
1780133068.6885545,0.06472786980651979,-0.0010444882668764355,0.0,0.0,"0.6955,0.8143"
1780133068.7047393,-0.06270776756102353,-0.00042041194970356566,0.0,0.0,"-0.4560,0.9981"
1780133068.7210088,-0.030993776446685273,-0.0007839073042013366,0.0,0.0,"0.0707,0.9869"
1780133068.7367823,-0.02088598139967751,-0.0008325760910335416,0.0,0.0,"0.9917,0.2579"
1780133068.7528334,0.051092875434894935,-0.0008989887658665359,0.0,0.0,"0.9710,0.5064"
1780133068.7686439,0.07232867527250753,-0.0005836552990687778,0.0,0.0,"0.6955,0.8143"
1780133068.7846124,0.0015402617439178035,-0.0008766822544266327,0.0,0.0,"0.6955,0.8143"
1780133068.801015,0.03515767806510797,-0.0006084967501989781,0.0,0.0,"0.8544,0.3706"
1780133068.817025,0.001900406335954813,-0.000394556597230742,0.0,0.0,"0.5267,0.2553"
1780133068.8332238,-0.005645062404594864,-0.0010536137674857123,0.0,0.0,"0.1479,-0.3804"
1780133068.8492398,0.013041439917292993,-0.0010064657969865135,0.0,0.0,"0.3559,-0.1819"
1780133068.8651726,0.04519786244229273,-0.0007646425205765886,0.0,0.0,"0.7162,-0.0765"
1780133068.8808813,0.04783075479866779,-0.001144360827805714,0.0,0.0,"0.9958,0.1079"
1780133068.8969252,0.020645656859237,-0.0010221817871529128,0.0,0.0,"0.6955,0.8143"
1780133068.912736,0.008586063783742118,-0.0008371388730545612,0.0,0.0,"0.6955,0.8143"
1780133068.9288404,0.021785908530585693,-0.0008624871757423823,0.0,0.0,"0.6955,0.8143"
1780133068.9446266,0.041516346608604926,-0.0009288998188589958,0.0,0.0,"0.6955,0.8143"
1780133068.960882,0.05401471859697188,-0.000949178511755462,0.0,0.0,"-0.1676,0.9943"
1780133068.9769857,-0.00011219868767170516,-0.0009806105872374052,0.0,0.0,"-0.0678,0.9839"
1780133068.9927223,-0.05101230835934392,-0.0009172396085031843,0.0,0.0,"0.9432,-0.7283"
1780133069.0084856,-0.061915259834031566,-0.0009177465631390437,0.0,0.0,"0.7137,0.7847"
1780133069.024301,-0.05779373928619136,-0.0008640080396499598,0.0,0.0,"0.6955,0.8143"
1780133069.0403297,-0.04172186398541486,-0.0008558965910361166,0.0,0.0,"0.6955,0.8143"
1780133069.056563,-0.002439651577037738,-0.0008417015123518658,0.0,0.0,"0.6955,0.8143"
1780133069.0727983,-0.20641932241222788,-0.00019278372819060523,0.0,0.0,"0.6955,0.8143"
1780133069.0887325,-0.17115060215721262,-0.0007134387702668009,0.0,0.0,"0.6955,0.8143"
1780133069.104714,0.053725708553599275,-0.0006759233025873095,0.0,0.0,"0.6955,0.8143"
1780133069.1205928,-0.07572256897905813,-0.0007737679260367224,0.0,0.0,"0.6955,0.8143"
1780133069.136462,0.15223540890250742,-0.0007524753555849183,0.0,0.0,"0.6955,0.8143"
1780133069.1523812,0.028394346656070296,-0.0008259855420082044,0.0,0.0,"0.6955,0.8143"
1780133069.1682014,0.026626123661468458,-0.0007854281839671049,0.0,0.0,"0.6955,0.8143"
1780133069.1841655,0.0041942786736597765,-0.0007783306287667893,0.0,0.0,"0.6955,0.8143"
1780133069.1999972,-0.047476816890179296,-0.0007910048118270809,0.0,0.0,"0.6955,0.8143"
1780133069.2157283,0.0008815502029011386,-0.0008609662563311379,0.0,0.0,"0.6955,0.8143"
1780133069.2316303,-0.003690996865391788,-0.0007894839162031219,0.0,0.0,"0.6955,0.8143"
1780133069.2478921,-0.01516164284211051,-0.0008107765263004022,0.0,0.0,"0.6955,0.8143"
1780133069.2636905,0.014933307080624264,-0.0008290273372206695,0.0,0.0,"0.6955,0.8143"
1780133069.2794359,-0.035233090759135915,-0.0008082416906794807,0.0,0.0,"0.6955,0.8143"
1780133069.2951798,0.004419490728839348,-0.0007083691921918275,0.0,0.0,"0.6955,0.8143"
1780133069.310979,-0.055290526112656585,-0.0007621076918936254,0.0,0.0,"0.6955,0.8143"
1780133069.3267343,0.00011501454412131407,-0.0007940466189331888,0.0,0.0,"0.6955,0.8143"
1780133069.3425772,-0.01669504082739759,-0.0007727539969422657,0.0,0.0,"0.6955,0.8143"
1780133069.3582716,0.056160837696184185,-0.0007920187468683588,0.0,0.0,"0.6955,0.8143"
1780133069.374211,0.005765264060515557,-0.0007854281750468725,0.0,0.0,"0.6955,0.8143"
1780133069.3898914,0.029401513001323234,-0.0007727539979334025,0.0,0.0,"0.9987,-0.1632"
1780133069.4060423,0.06605371636507996,-0.0007793445717371626,0.0,0.0,"0.9999,-0.6818"
1780133069.4217334,-0.019651343920843334,-0.0008168601306012494,0.0,0.0,"1.0000,-0.5689"
1780133069.4373841,-0.035229826319315094,-0.0008153392295260373,0.0,0.0,"1.0000,-0.9856"
1780133069.453016,0.008383702414800298,-0.0008183810321720295,0.0,0.0,"1.0000,-0.9866"
1780133069.4686947,5.365599267524723e-05,-0.0007834003079377275,0.0,0.0,"1.0000,-0.9932"
