t_unix,t_rel_s,enc_m1,enc_m2,bus1_ax,bus1_ay,bus1_az,bus1_gx,bus1_gy,bus1_gz,bus3_ax,bus3_ay,bus3_az,bus3_gx,bus3_gy,bus3_gz
1780138674.271764,0.000000,80,0,-13865,-160,-9122,-63,35,90,14693,-911,-9265,7,-75,54
1780138674.293154,0.021390,80,0,-13519,85,-9185,-82,121,39,14420,-1149,-9150,10,-144,29
1780138674.314516,0.042752,80,0,-13307,51,-9159,-28,16,55,14201,-983,-9175,-38,39,15
1780138674.335773,0.064010,80,0,-13462,-104,-9112,-34,-169,26,14600,-970,-9087,16,168,19
1780138674.356208,0.084444,80,0,-13954,32,-9088,-60,-145,52,14894,-1132,-9156,18,31,23
1780138674.376424,0.104661,80,0,-13952,143,-9135,-58,49,49,14642,-1166,-9203,1,-174,38
1780138674.396630,0.124866,80,0,-13477,145,-9182,-59,162,59,14224,-1182,-9186,15,-174,38
1780138674.416899,0.145136,80,0,-13199,165,-9224,-81,52,48,14148,-1256,-9224,49,6,21
1780138674.437236,0.165473,80,0,-13479,272,-9152,-73,-139,45,14473,-1377,-9200,12,144,21
1780138674.457774,0.186011,80,0,-13879,306,-9115,-23,-167,54,14845,-1301,-9105,-53,69,22
1780138674.478114,0.206351,80,0,-13885,64,-9075,12,6,22,14684,-1081,-9164,-25,-105,22
1780138674.498325,0.226561,80,0,-13554,-64,-9142,-58,117,59,14322,-1064,-9224,27,-137,44
1780138674.518674,0.246910,80,0,-13364,110,-9149,-75,41,48,14257,-1201,-9184,35,-22,16
1780138674.538954,0.267190,80,0,-13508,146,-9188,-31,-106,38,14493,-1124,-9168,-44,86,20
1780138674.559387,0.287624,80,0,-13755,-104,-9090,14,-108,32,14705,-924,-9234,-43,56,16
1780138674.579714,0.307951,80,0,-13823,-169,-9059,-62,-10,53,14619,-995,-9211,46,-72,29
1780138674.599918,0.328154,80,0,-13645,97,-9069,-114,76,42,14460,-1192,-9150,53,-107,16
1780138674.620203,0.348439,80,0,-13453,188,-9114,-45,31,54,14325,-1284,-9203,-3,-50,32
1780138674.640486,0.368722,80,0,-13516,153,-9156,-23,-42,46,14431,-1179,-9155,-26,26,16
1780138674.661149,0.389386,80,0,-13666,104,-9115,-57,-63,35,14579,-1154,-9201,16,18,24
1780138674.681505,0.409742,80,0,-13673,218,-9136,-88,-21,46,14541,-1316,-9173,35,-41,28
1780138674.701726,0.429962,80,0,-13577,262,-9130,-49,21,44,14443,-1319,-9166,-12,-55,21
1780138674.722074,0.450310,80,0,-13546,147,-9098,-5,-18,36,14430,-1177,-9190,-42,-1,16
1780138674.742481,0.470717,80,0,-13613,27,-9091,-14,-55,35,14527,-1019,-9201,-24,29,23
1780138674.762772,0.491008,80,0,-13691,-8,-9131,-55,-34,38,14581,-1063,-9197,25,-4,23
1780138674.783137,0.511374,80,0,-13644,41,-9145,-53,12,48,14477,-1097,-9149,-12,-51,35
1780138674.803326,0.531562,80,0,-13526,-22,-9084,-29,-11,38,14404,-1004,-9155,-13,-11,22
1780138674.823602,0.551839,80,0,-13592,-26,-9018,-48,-70,46,14519,-1043,-9211,12,19,17
1780138674.843894,0.572130,80,0,-13706,66,-9123,-71,-51,46,14648,-1165,-9141,28,-4,30
1780138674.865118,0.593355,80,0,-13697,166,-9099,-61,27,65,14546,-1234,-9163,12,-64,16
1780138674.885555,0.613791,80,0,-13530,158,-9135,-43,47,48,14352,-1201,-9192,9,-69,29
1780138674.905864,0.634100,80,0,-13479,181,-9131,-49,-28,43,14383,-1227,-9200,10,11,32
1780138674.926247,0.654483,80,0,-13630,204,-9131,-59,-80,51,14499,-1271,-9133,21,45,28
1780138674.946583,0.674819,80,0,-13723,209,-9136,-41,-49,43,14635,-1265,-9131,-3,2,30
1780138674.967391,0.695627,80,0,-13673,93,-9118,-15,15,48,14558,-1120,-9185,-17,-64,20
1780138674.987773,0.716009,80,0,-13521,-54,-9125,-29,10,36,14397,-987,-9159,-23,-41,16
1780138675.008036,0.736272,80,0,-13557,-86,-9145,-46,-24,39,14476,-998,-9221,27,2,32
1780138675.029449,0.757686,80,0,-13664,30,-9124,-42,-17,54,14540,-1114,-9163,5,-25,38
1780138675.049833,0.778069,80,0,-13629,58,-9124,-57,-1,42,14517,-1102,-9201,10,-38,17
1780138675.070121,0.798357,80,0,-13568,80,-9171,-94,1,67,14420,-1263,-9114,50,-45,36
1780138675.090474,0.818710,80,0,-13560,262,-9114,-69,-47,35,14464,-1322,-9155,17,5,17
