t_unix,t_rel_s,enc_m1,enc_m2,bus1_ax,bus1_ay,bus1_az,bus1_gx,bus1_gy,bus1_gz,bus3_ax,bus3_ay,bus3_az,bus3_gx,bus3_gy,bus3_gz
1780139259.444784,0.000000,344,-299,-6348,-937,-15195,98,-214,392,7106,-294,-15057,-124,231,410
1780139259.460772,0.015988,344,-299,-6557,-914,-15172,98,-304,452,7138,-341,-15044,-136,259,444
1780139259.476570,0.031787,344,-299,-6671,-811,-15187,111,-290,402,7210,-349,-15071,-136,264,334
1780139259.492192,0.047409,344,-299,-6647,-945,-15158,110,-292,297,7181,-276,-15050,-134,272,276
1780139259.507855,0.063071,344,-299,-6605,-880,-15144,94,-294,291,7225,-343,-15002,-141,256,288
1780139259.523620,0.078837,344,-299,-6543,-945,-15155,129,-311,388,7192,-313,-15027,-154,265,341
1780139259.539258,0.094474,344,-299,-6748,-1028,-15110,112,-302,425,7400,-205,-15032,-125,270,409
1780139259.554887,0.110103,344,-299,-7072,-912,-15102,53,-182,364,7496,-267,-14998,-103,100,317
1780139259.570516,0.125732,344,-299,-7006,-972,-15083,44,-76,289,7413,-200,-15024,-85,-5,227
1780139259.586681,0.141898,344,-299,-6559,-1087,-15161,-27,29,152,6964,-195,-15095,-5,-56,109
1780139259.602437,0.157654,344,-299,-6458,-994,-15167,-78,-63,66,7073,-284,-15009,23,4,56
1780139259.618172,0.173388,344,-299,-6649,-695,-15203,-54,-90,43,7271,-500,-15015,-15,59,9
1780139259.633904,0.189121,344,-299,-6606,-735,-15241,42,-70,119,7188,-421,-15086,-67,39,62
1780139259.649621,0.204838,344,-299,-6273,-855,-15161,83,-101,243,7244,-324,-15274,-140,109,322
1780139259.665286,0.220503,344,-299,-6447,-803,-15146,177,-158,616,7174,-526,-14889,-203,146,647
1780139259.680911,0.236127,344,-299,-6551,-1038,-15192,203,-178,702,7164,-144,-15137,-215,183,703
1780139259.696673,0.251889,344,-299,-6674,-969,-15018,142,-182,586,6888,-229,-15062,-163,188,500
1780139259.712419,0.267635,344,-299,-6413,-1046,-15264,118,-233,405,6627,-142,-15179,-140,244,343
1780139259.728103,0.283319,344,-299,-6449,-787,-15149,16,-435,126,6929,-402,-15067,-63,412,57
1780139259.743776,0.298992,344,-299,-6269,-880,-15347,9,-494,49,6806,-288,-15250,-62,474,6
1780139259.759399,0.314615,344,-299,-6012,-1259,-15323,-54,-608,98,6584,81,-15452,30,563,84
1780139259.774999,0.330216,344,-299,-6088,-1192,-15604,-180,-331,21,6485,-106,-15609,125,428,80
1780139259.790710,0.345927,344,-299,-6700,-637,-15917,-99,45,-218,6932,-608,-15564,-13,-217,-295
1780139259.806458,0.361674,344,-299,-6500,-618,-16029,174,1072,-293,7509,-638,-15662,-264,-1291,-200
1780139259.822196,0.377413,344,-299,-6391,-553,-15978,273,1754,40,7519,-640,-15722,-350,-1987,168
1780139259.837894,0.393110,344,-299,-6393,-889,-16012,391,3414,786,7234,-287,-15916,-373,-3659,929
1780139259.853563,0.408779,344,-299,-6135,-1063,-16147,371,4411,1037,6730,-138,-16051,-313,-4643,1169
1780139259.869214,0.424431,344,-299,-5311,-741,-16305,341,6019,1156,5190,-502,-15813,-335,-6147,1239
1780139259.884827,0.440043,344,-299,-4457,-888,-16187,497,6331,895,4577,-242,-15784,-491,-6359,997
1780139259.900578,0.455794,344,-299,-3841,-1306,-16178,439,5575,980,4584,9,-16161,-369,-5500,1128
1780139259.916348,0.471565,344,-299,-4663,-1019,-16205,328,5026,1035,4591,-234,-16011,-291,-5013,1098
1780139259.932023,0.487239,344,-299,-4940,-1732,-16046,114,4794,285,4685,503,-16219,-107,-4851,291
1780139259.947688,0.502904,344,-299,-4963,-1802,-16007,-136,4977,-218,4637,321,-15914,272,-5427,-765
1780139259.963314,0.518531,344,-299,-4580,-1344,-15931,-457,5660,-1302,4611,116,-15757,353,-5796,-1271
1780139259.978890,0.534106,344,-299,-4167,-1270,-15823,-560,6037,-1491,5359,-166,-15608,451,-6155,-1377
1780139259.994924,0.550140,344,-299,-4476,-820,-16095,-570,6236,-1179,5614,-436,-15883,478,-6360,-1071
1780139260.010624,0.565840,344,-299,-4809,-532,-16110,-415,6617,-735,5329,-446,-15591,341,-6705,-624
1780139260.026422,0.581638,344,-299,-4830,-1338,-15563,-413,6782,-752,5280,117,-15635,336,-6879,-641
1780139260.042229,0.597446,344,-299,-4767,-1159,-15502,-648,6868,-1294,4479,-58,-15280,545,-6985,-1198
1780139260.057943,0.613160,344,-299,-4851,-1212,-15509,-659,6611,-1836,4554,26,-15314,479,-6386,-2266
1780139260.073670,0.628886,344,-299,-5682,-1294,-15269,-707,5828,-2695,5949,82,-15262,534,-5980,-2614
1780139260.089380,0.644597,344,-299,-6070,-633,-15341,-770,5597,-2881,6471,-959,-15006,479,-5453,-2808
