t_unix,t_rel_s,enc_m1,enc_m2,bus1_ax,bus1_ay,bus1_az,bus1_gx,bus1_gy,bus1_gz,bus3_ax,bus3_ay,bus3_az,bus3_gx,bus3_gy,bus3_gz
1780139817.834905,0.000000,270,-351,-13778,-1007,-8691,-62,-25,60,14739,-61,-8919,23,-5,43
1780139817.851344,0.016439,270,-351,-13865,-726,-8753,-105,-22,74,14768,-309,-8836,47,-12,48
1780139817.867622,0.032717,270,-351,-13916,-699,-8843,-69,2,45,14716,-257,-8975,-37,-55,21
1780139817.883806,0.048901,270,-351,-13718,-860,-8851,19,34,22,14625,-128,-8950,-67,-61,5
1780139817.900003,0.065099,270,-351,-13592,-1048,-8793,-22,-9,51,14478,103,-9008,-13,-18,26
1780139817.916297,0.081392,270,-351,-13590,-999,-8677,-79,-75,69,14577,-61,-8842,56,41,42
1780139817.931975,0.097070,270,-351,-14006,-641,-8746,-127,-117,53,14877,-435,-8797,57,80,38
1780139817.947567,0.112663,270,-351,-14089,-571,-8768,-74,-80,32,15000,-459,-8786,-30,-38,18
1780139817.963151,0.128246,270,-351,-13937,-813,-8749,21,46,13,14820,-197,-8871,-76,-93,-2
1780139817.978733,0.143828,270,-351,-13751,-1009,-8725,33,81,12,14526,64,-8939,-18,-105,29
1780139817.994416,0.159511,270,-351,-13531,-1052,-8731,-86,4,65,14426,8,-8917,27,-44,50
1780139818.010117,0.175212,270,-351,-13638,-909,-8761,-102,-88,48,14709,-271,-8867,44,60,23
1780139818.025941,0.191036,270,-351,-13945,-737,-8776,-58,-92,26,14817,-339,-8858,12,56,20
1780139818.041713,0.206808,270,-351,-13951,-808,-8807,-2,11,29,14798,-86,-8984,-47,-34,11
1780139818.057413,0.222508,270,-351,-13779,-1020,-8777,-36,48,44,14735,-39,-8981,-13,-62,36
1780139818.073019,0.238114,270,-351,-13663,-786,-8912,-116,48,73,14601,-224,-9000,85,-83,46
1780139818.088678,0.253773,270,-351,-13644,-689,-8911,-113,29,67,14511,-367,-8974,10,-31,27
1780139818.104357,0.269453,270,-351,-13619,-790,-8921,13,-50,29,14467,-267,-8968,-54,6,15
1780139818.120068,0.285163,270,-351,-13646,-928,-8822,72,-86,2,14687,63,-8928,-84,83,-19
1780139818.135702,0.300797,270,-351,-13804,-1176,-8564,-11,-129,44,14796,111,-8916,-38,109,21
1780139818.151345,0.316440,270,-351,-13991,-1022,-8594,-68,-101,80,14998,-192,-8771,97,37,41
1780139818.166945,0.332041,270,-351,-14110,-652,-8662,-150,1,56,15010,-366,-8742,97,-28,25
1780139818.182552,0.347647,270,-351,-13964,-555,-8704,-94,62,47,14745,-449,-8754,-10,-124,34
1780139818.198222,0.363317,270,-351,-13664,-754,-8738,14,58,33,14604,-285,-8810,-69,-101,34
1780139818.213911,0.379006,270,-351,-13630,-924,-8694,-4,-60,15,14551,2,-8874,-56,25,-6
1780139818.229551,0.394646,270,-351,-13784,-1021,-8688,-35,-101,38,14710,-24,-8905,40,60,22
1780139818.245186,0.410281,270,-351,-13947,-944,-8758,-98,-38,69,14917,-217,-8884,42,25,38
1780139818.260768,0.425863,270,-351,-13952,-738,-8814,-80,19,54,14795,-302,-8958,12,-87,13
1780139818.276394,0.441489,270,-351,-13693,-883,-8872,-1,87,36,14648,-229,-8936,-21,-108,13
1780139818.291984,0.457079,270,-351,-13552,-982,-8808,-9,62,36,14423,-2,-9106,-26,-75,23
1780139818.307625,0.472720,270,-351,-13572,-981,-8911,-72,-32,45,14435,-13,-9065,21,-33,22
1780139818.323699,0.488794,270,-351,-13693,-884,-8921,-97,-69,51,14621,-262,-9028,45,40,31
1780139818.339873,0.504968,270,-351,-13786,-702,-8885,-73,-73,48,14723,-319,-8972,32,38,23
1780139818.356030,0.521126,270,-351,-13868,-713,-8849,-33,-71,30,14740,-272,-8872,-37,12,1
1780139818.372182,0.537277,270,-351,-13767,-948,-8699,29,-31,10,14745,11,-8874,-63,7,3
1780139818.388338,0.553433,270,-351,-13726,-1047,-8662,-63,-27,61,14769,35,-8879,-18,1,37
1780139818.404555,0.569650,270,-351,-13937,-883,-8743,-105,-21,67,14852,-194,-8944,77,-23,40
1780139818.420743,0.585838,270,-351,-13815,-685,-8827,-93,48,43,14780,-286,-8910,55,-70,33
1780139818.436398,0.601493,270,-351,-13687,-716,-8822,-50,44,52,14554,-281,-8838,-13,-65,21
1780139818.451993,0.617088,270,-351,-13608,-863,-8702,4,-65,33,14633,-163,-8834,-42,67,5
1780139818.467600,0.632695,270,-351,-13760,-904,-8692,-18,-117,21,14819,-115,-8859,-21,113,2
1780139818.483205,0.648300,270,-351,-14077,-949,-8640,-20,-99,36,15020,-57,-8877,-17,10,20
1780139818.498820,0.663915,270,-351,-14131,-955,-8717,-66,61,59,14952,-74,-8879,9,-64,21
1780139818.514500,0.679595,270,-351,-13765,-877,-8791,-85,124,71,14627,-143,-8963,44,-182,48
1780139818.530014,0.695109,270,-351,-13582,-852,-8824,-99,76,70,14434,-176,-8999,48,-140,52
1780139818.545676,0.710771,270,-351,-13483,-750,-8906,-80,-10,58,14394,-316,-8948,11,16,37
1780139818.561310,0.726405,270,-351,-13768,-751,-8813,-10,-149,34,14571,-332,-8895,-19,100,9
1780139818.576895,0.741990,270,-351,-13925,-830,-8774,25,-160,8,14876,-143,-8924,-78,94,-21
1780139818.592541,0.757636,270,-351,-13964,-1049,-8638,-3,-26,41,14953,-2,-8913,-24,-34,35
1780139818.608186,0.773281,270,-351,-13912,-1036,-8641,-59,29,62,14768,-69,-8863,41,-69,50
1780139818.623870,0.788965,270,-351,-13784,-720,-8824,-117,55,62,14649,-294,-8919,58,-104,30
1780139818.639465,0.804560,270,-351,-13691,-720,-8898,-71,49,48,14587,-316,-8937,11,-79,25
1780139818.655059,0.820154,270,-351,-13649,-864,-8802,-1,-21,26,14529,-121,-8963,-49,-9,12
1780139818.670648,0.835743,270,-351,-13622,-898,-8705,-7,-51,20,14578,-83,-8892,-23,36,-6
1780139818.686274,0.851369,270,-351,-13849,-859,-8705,-71,-100,49,14774,-188,-8871,16,73,34
1780139818.701916,0.867011,270,-351,-13983,-796,-8702,-69,-105,62,14871,-295,-8854,20,60,34
1780139818.717591,0.882686,270,-351,-14073,-796,-8749,-17,-34,23,14949,-225,-8855,-36,-31,15
1780139818.733229,0.898324,270,-351,-14025,-922,-8769,-6,88,36,14886,-76,-8891,-41,-129,18
1780139818.748829,0.913924,270,-351,-13616,-1142,-8771,-31,109,58,14531,104,-9035,12,-154,41
1780139818.764465,0.929560,270,-351,-13530,-1102,-8884,-148,21,77,14385,-223,-8993,87,-40,52
1780139818.780049,0.945144,270,-351,-13603,-730,-8950,-128,-22,56,14450,-344,-8961,62,-4,29
1780139818.795643,0.960738,270,-351,-13712,-680,-8872,-24,-98,33,14674,-360,-8866,-28,77,26
1780139818.811569,0.976665,270,-351,-13822,-732,-8842,18,-103,13,14740,-247,-8910,-53,78,8
1780139818.827191,0.992286,270,-351,-13904,-933,-8670,-14,-78,12,14855,-73,-8828,-51,42,-6
1780139818.843135,1.008230,270,-351,-13912,-1006,-8705,-22,-20,31,14867,-16,-8889,-33,-14,16
1780139818.858792,1.023887,270,-351,-13830,-1013,-8693,-76,49,72,14721,-66,-8913,36,-83,49
1780139818.874516,1.039611,270,-351,-13741,-889,-8781,-86,63,67,14642,-154,-8895,64,-66,42
1780139818.890175,1.055270,270,-351,-13664,-686,-8778,-112,12,52,14596,-345,-8922,69,-33,39
1780139818.905851,1.070946,270,-351,-13744,-636,-8863,-60,-63,46,14633,-415,-8844,1,20,12
1780139818.921412,1.086508,270,-351,-13821,-656,-8751,-14,-76,11,14696,-340,-8798,-58,49,1
1780139818.937004,1.102099,270,-351,-13877,-823,-8770,58,-71,11,14852,17,-8886,-100,33,-15
1780139818.952657,1.117752,270,-351,-13859,-1202,-8603,41,-41,47,14850,188,-8902,-70,5,30
1780139818.968287,1.133382,270,-351,-13925,-1055,-8710,-127,31,72,14787,37,-8942,71,-67,50
1780139818.983893,1.148988,270,-351,-13836,-815,-8793,-172,49,65,14740,-209,-8920,114,-68,35
1780139818.999524,1.164619,270,-351,-13772,-552,-8902,-128,43,56,14667,-480,-8947,91,-97,34
1780139819.015283,1.180378,270,-351,-13676,-586,-8901,-57,40,61,14600,-466,-8955,-63,-68,33
1780139819.031191,1.196286,270,-351,-13597,-816,-8901,32,-20,4,14411,-208,-9062,-91,-16,-8
1780139819.046934,1.212029,270,-351,-13533,-982,-8825,41,-60,-24,14637,77,-8983,-84,80,-13
1780139819.062469,1.227564,270,-351,-13786,-1125,-8722,-17,-131,73,14746,130,-8967,-42,101,37
1780139819.078164,1.243259,270,-351,-14018,-1023,-8698,-81,-100,87,14978,-126,-8962,70,21,30
