t_unix,t_rel_s,enc_m1,enc_m2,slot0_bus1_ax,slot0_bus1_ay,slot0_bus1_az,slot0_bus1_gx,slot0_bus1_gy,slot0_bus1_gz,slot1_bus1_ax,slot1_bus1_ay,slot1_bus1_az,slot1_bus1_gx,slot1_bus1_gy,slot1_bus1_gz
1780408873.863633,1.089228,-53,82,-55,-251,-16481,-40,3,46,-55,-251,-16481,-40,3,46
1780408873.882611,1.108207,-53,82,-8,-223,-16540,-34,-7,34,-8,-223,-16540,-34,-7,34
1780408873.901577,1.127173,-53,82,-107,-194,-16556,-39,0,55,-107,-194,-16556,-39,0,55
1780408873.920626,1.146222,-53,82,-70,-206,-16546,-45,-3,58,-70,-206,-16546,-45,-3,58
1780408873.939677,1.165273,-53,82,-54,-220,-16542,-26,0,39,-54,-220,-16542,-26,0,39
1780408873.958648,1.184244,-53,82,-67,-223,-16530,-41,-13,32,-67,-223,-16530,-41,-13,32
1780408873.977632,1.203227,-53,82,-57,-233,-16562,-44,-9,33,-57,-233,-16562,-44,-9,33
1780408873.996685,1.222281,-53,82,-70,-247,-16522,-26,-19,34,-70,-247,-16522,-26,-19,34
1780408874.015741,1.241337,-53,82,-23,-266,-16545,-25,-12,35,-23,-266,-16545,-25,-12,35
1780408874.034750,1.260346,-53,82,-28,-221,-16581,-27,-10,42,-28,-221,-16581,-27,-10,42
1780408874.053740,1.279335,-53,82,-59,-251,-16542,-35,-6,45,-59,-251,-16542,-35,-6,45
1780408874.072896,1.298492,-53,82,-27,-167,-16529,-33,-14,49,-27,-167,-16529,-33,-14,49
1780408874.091880,1.317476,-53,82,-37,-229,-16535,-34,-9,33,-37,-229,-16535,-34,-9,33
1780408874.110874,1.336470,-53,82,-98,-207,-16512,-25,1,27,-98,-207,-16512,-25,1,27
1780408874.131385,1.356980,-53,82,-58,-229,-16476,-50,1,40,-58,-229,-16476,-50,1,40
1780408874.150369,1.375965,-53,82,-52,-267,-16556,-33,-9,27,-52,-267,-16556,-33,-9,27
1780408874.169447,1.395043,-53,82,-92,-233,-16568,-37,-7,42,-92,-233,-16568,-37,-7,42
1780408874.188570,1.414165,-53,82,-60,-189,-16519,-34,-23,40,-60,-189,-16519,-34,-23,40
1780408874.207599,1.433195,-53,82,-42,-229,-16594,-42,-4,38,-42,-229,-16594,-42,-4,38
1780408874.226642,1.452238,-53,82,-69,-225,-16580,-39,15,50,-69,-225,-16580,-39,15,50
1780408874.245672,1.471268,-53,82,-60,-213,-16545,-43,-8,40,-60,-213,-16545,-43,-8,40
1780408874.264773,1.490369,-53,82,-86,-161,-16523,-39,5,17,-86,-161,-16523,-39,5,17
1780408874.283999,1.509595,-53,82,-57,-240,-16556,-27,-10,25,-57,-240,-16556,-27,-10,25
1780408874.303172,1.528768,-53,82,-39,-195,-16582,-34,2,38,-39,-195,-16582,-34,2,38
1780408874.322301,1.547897,-53,82,-80,-215,-16536,-36,-2,30,-80,-215,-16536,-36,-2,30
1780408874.341421,1.567017,-53,82,-62,-196,-16578,-65,0,28,-62,-196,-16578,-65,0,28
1780408874.360462,1.586058,-53,82,-23,-213,-16540,-40,5,45,-23,-213,-16540,-40,5,45
1780408874.379467,1.605063,-53,82,-53,-217,-16505,-45,-16,37,-53,-217,-16505,-45,-16,37
1780408874.398447,1.624043,-53,82,-66,-235,-16585,-54,-10,26,-66,-235,-16585,-54,-10,26
1780408874.417460,1.643056,-53,82,-55,-224,-16548,-42,7,41,-55,-224,-16548,-42,7,41
1780408874.436518,1.662113,-53,82,-86,-232,-16556,-41,-10,32,-86,-232,-16556,-41,-10,32
1780408874.455515,1.681111,-53,82,-30,-212,-16535,-36,-3,34,-30,-212,-16535,-36,-3,34
1780408874.474515,1.700111,-53,82,-44,-235,-16522,-43,5,39,-44,-235,-16522,-43,5,39
1780408874.493471,1.719067,-53,82,-63,-204,-16522,-47,-12,30,-63,-204,-16522,-47,-12,30
1780408874.512544,1.738139,-53,82,-48,-191,-16505,-28,-14,40,-48,-191,-16505,-28,-14,40
1780408874.531677,1.757272,-53,82,-85,-236,-16582,-35,6,39,-85,-236,-16582,-35,6,39
1780408874.550718,1.776314,-53,82,-39,-244,-16595,-52,-4,30,-39,-244,-16595,-52,-4,30
1780408874.569763,1.795358,-53,82,-46,-226,-16519,-42,0,41,-46,-226,-16519,-42,0,41
1780408874.588800,1.814396,-53,82,-39,-208,-16554,-32,-5,18,-39,-208,-16554,-32,-5,18
1780408874.607834,1.833430,-53,82,-27,-296,-16600,-34,0,33,-27,-296,-16600,-34,0,33
1780408874.626867,1.852462,-53,82,-50,-269,-16528,-47,0,29,-50,-269,-16528,-47,0,29
1780408874.645949,1.871545,-53,82,-42,-219,-16508,-44,-16,44,-42,-219,-16508,-44,-16,44
1780408874.664921,1.890516,-53,82,-41,-227,-16583,-39,1,37,-41,-227,-16583,-39,1,37
1780408874.683871,1.909467,-53,82,-53,-221,-16479,-37,3,27,-53,-221,-16479,-37,3,27
1780408874.702854,1.928449,-53,82,-51,-245,-16497,-40,-6,45,-51,-245,-16497,-40,-6,45
1780408874.721886,1.947482,-53,82,-39,-265,-16532,-56,-5,39,-39,-265,-16532,-56,-5,39
1780408874.740935,1.966531,-53,82,-88,-205,-16539,-36,-7,47,-88,-205,-16539,-36,-7,47
1780408874.759961,1.985557,-53,82,-78,-211,-16549,-49,-15,57,-78,-211,-16549,-49,-15,57
1780408874.778939,2.004535,-53,82,-77,-260,-16524,-59,3,29,-77,-260,-16524,-59,3,29
1780408874.797950,2.023545,-53,82,-95,-197,-16503,-47,10,32,-95,-197,-16503,-47,10,32
1780408874.816948,2.042544,-53,82,-68,-241,-16548,-42,-12,40,-68,-241,-16548,-42,-12,40
1780408874.835962,2.061557,-53,82,-51,-244,-16523,-37,0,32,-51,-244,-16523,-37,0,32
1780408874.854946,2.080542,-53,82,-88,-212,-16572,-41,-5,31,-88,-212,-16572,-41,-5,31
1780408874.873992,2.099588,-53,82,-24,-221,-16595,-34,1,29,-24,-221,-16595,-34,1,29
1780408874.892995,2.118590,-53,82,-79,-208,-16545,-45,-9,22,-79,-208,-16545,-45,-9,22
1780408874.911992,2.137588,-53,82,-47,-203,-16613,-31,-5,51,-47,-203,-16613,-31,-5,51
1780408874.931014,2.156609,-53,82,-43,-232,-16534,-25,7,42,-43,-232,-16534,-25,7,42
1780408874.950033,2.175629,-53,82,-73,-208,-16469,-42,-15,46,-73,-208,-16469,-42,-15,46
1780408874.969037,2.194633,-53,82,-84,-215,-16544,-29,-12,34,-84,-215,-16544,-29,-12,34
1780408874.988011,2.213607,-53,82,-51,-229,-16542,-41,-18,26,-51,-229,-16542,-41,-18,26
1780408875.007018,2.232614,-53,82,-27,-260,-16545,-36,-19,53,-27,-260,-16545,-36,-19,53
1780408875.026106,2.251702,-53,82,-115,-197,-16552,-50,-9,42,-115,-197,-16552,-50,-9,42
1780408875.045133,2.270729,-53,82,-76,-257,-16540,-46,4,26,-76,-257,-16540,-46,4,26
1780408875.064184,2.289780,-53,82,-90,-219,-16583,-46,-10,33,-90,-219,-16583,-46,-10,33
1780408875.083226,2.308822,-53,82,-45,-196,-16549,-36,-6,42,-45,-196,-16549,-36,-6,42
1780408875.102224,2.327820,-53,82,-4,-248,-16562,-30,-11,39,-4,-248,-16562,-30,-11,39
1780408875.121223,2.346819,-53,82,-67,-251,-16539,-46,10,41,-67,-251,-16539,-46,10,41
1780408875.143229,2.368825,-53,82,-62,-217,-16572,-32,10,29,-62,-217,-16572,-32,10,29
1780408875.162463,2.388059,-53,82,-106,-193,-16547,-34,-12,24,-106,-193,-16547,-34,-12,24
1780408875.181515,2.407110,-53,82,-62,-229,-16526,-35,2,41,-62,-229,-16526,-35,2,41
1780408875.200557,2.426153,-53,82,-56,-242,-16595,-34,-8,39,-56,-242,-16595,-34,-8,39
1780408875.219582,2.445177,-53,82,-127,-253,-16568,-27,-11,28,-127,-253,-16568,-27,-11,28
1780408875.238641,2.464237,-53,82,-89,-181,-16586,-54,-14,28,-89,-181,-16586,-54,-14,28
1780408875.257637,2.483232,-53,82,-77,-195,-16556,-23,-2,35,-77,-195,-16556,-23,-2,35
1780408875.276868,2.502464,-53,82,-54,-274,-16558,-56,-8,28,-54,-274,-16558,-56,-8,28
