t_unix,t_rel_s,enc_m1,enc_m2,bus1_ax,bus1_ay,bus1_az,bus1_gx,bus1_gy,bus1_gz,bus3_ax,bus3_ay,bus3_az,bus3_gx,bus3_gy,bus3_gz
1780139787.953382,0.000000,-15,11,-13966,-752,-8739,-107,6,47,14841,-303,-8839,54,-38,29
1780139787.969392,0.016010,-15,11,-13872,-689,-8733,-44,29,40,14716,-353,-8810,17,-69,33
1780139787.985158,0.031775,-15,11,-13769,-734,-8761,-29,27,39,14621,-291,-8860,-10,-55,29
1780139788.000818,0.047436,-15,11,-13702,-811,-8736,12,-48,19,14614,-128,-8894,-46,8,8
1780139788.016692,0.063310,-15,11,-13774,-983,-8712,-6,-72,26,14707,-49,-8918,-28,49,20
1780139788.032521,0.079139,-15,11,-13957,-932,-8730,-98,-41,46,14839,-67,-8940,31,19,21
1780139788.048263,0.094880,-15,11,-13943,-853,-8754,-100,1,52,14818,-228,-8933,40,-84,39
1780139788.063901,0.110519,-15,11,-13781,-753,-8857,-64,87,69,14668,-254,-8960,41,-117,52
1780139788.079551,0.126169,-15,11,-13637,-770,-8900,-55,87,60,14452,-252,-9028,-9,-99,38
1780139788.095207,0.141825,-15,11,-13547,-857,-8911,-24,-23,43,14425,-201,-9014,-21,-43,15
1780139788.110886,0.157504,-15,11,-13606,-876,-8872,-31,-77,30,14637,-154,-8991,-20,80,-1
1780139788.126499,0.173117,-15,11,-13844,-909,-8822,-29,-113,16,14764,-137,-8985,-23,99,1
1780139788.142138,0.188756,-15,11,-13917,-928,-8772,-39,-87,30,14860,-99,-8910,-4,23,22
1780139788.157758,0.204376,-15,11,-13914,-853,-8769,-48,1,58,14715,-127,-8879,15,-58,44
1780139788.173442,0.220059,-15,11,-13784,-859,-8759,-58,9,61,14630,-181,-8804,5,-53,46
1780139788.189134,0.235752,-15,11,-13775,-804,-8711,-68,-18,49,14682,-284,-8870,21,4,19
1780139788.204741,0.251358,-15,11,-13793,-778,-8748,-54,-68,30,14778,-305,-8760,16,25,26
1780139788.220374,0.266991,-15,11,-13884,-792,-8781,-39,-51,31,14804,-197,-8847,-21,9,15
1780139788.235951,0.282569,-15,11,-13850,-874,-8721,-5,-2,37,14824,-180,-8784,-34,-14,16
1780139788.252129,0.298746,-15,11,-13808,-990,-8820,-17,21,46,14724,-58,-8927,-11,-59,35
1780139788.267838,0.314455,-15,11,-13699,-952,-8874,-58,51,41,14639,-55,-8934,22,-73,24
1780139788.283346,0.329963,-15,11,-13647,-907,-8931,-99,29,52,14585,-236,-8967,52,-54,41
1780139788.299007,0.345625,-15,11,-13666,-746,-8927,-88,-4,43,14537,-295,-9068,10,-23,35
1780139788.314638,0.361255,-15,11,-13673,-705,-8928,-69,-25,51,14564,-279,-8995,-9,-13,25
1780139788.330284,0.376902,-15,11,-13681,-829,-8912,10,-59,14,14598,-175,-8966,-58,50,3
1780139788.345901,0.392519,-15,11,-13743,-865,-8832,-2,-92,23,14661,-49,-8925,-53,57,6
1780139788.361543,0.408160,-15,11,-13836,-1003,-8686,-33,-83,37,14779,-81,-8853,5,54,25
1780139788.377419,0.424037,-15,11,-13897,-937,-8630,-84,-38,47,14863,-111,-8807,49,14,16
