t_unix,t_rel_s,enc_m1,enc_m2,bus1_ax,bus1_ay,bus1_az,bus1_gx,bus1_gy,bus1_gz,bus3_ax,bus3_ay,bus3_az,bus3_gx,bus3_gy,bus3_gz
1780139003.387353,0.000000,-2,17,-13131,145,-9089,-52,-238,4,14091,-1197,-9097,4,141,-10
1780139003.403431,0.016078,-2,17,-13772,72,-8908,-21,-327,-17,14901,-1130,-8982,-64,278,-39
1780139003.419161,0.031808,-2,17,-14123,14,-8852,25,-153,28,15207,-1012,-8974,-79,185,-21
1780139003.434828,0.047475,-2,17,-14196,-203,-8829,4,24,64,15037,-906,-9070,-18,-162,71
1780139003.450480,0.063127,-2,17,-13626,-92,-9035,-102,271,72,14674,-955,-9155,19,-281,85
1780139003.466149,0.078796,-2,17,-13288,17,-9096,-138,239,64,14017,-1145,-9183,85,-223,44
1780139003.481802,0.094449,-2,17,-13118,219,-9147,-109,-49,53,13938,-1261,-9160,37,84,34
1780139003.497542,0.110189,-2,17,-13342,273,-9083,-66,-177,42,14394,-1378,-9061,-7,199,19
1780139003.513257,0.125904,-2,17,-13964,204,-8942,7,-240,19,14975,-1247,-9030,-74,166,4
1780139003.528879,0.141526,-2,17,-14106,125,-8907,20,-141,31,15063,-1143,-9063,-79,52,-1
1780139003.544540,0.157187,-2,17,-13928,-15,-8813,-38,95,34,14696,-1091,-9099,20,-184,37
1780139003.560520,0.173167,-2,17,-13678,21,-8954,-139,158,69,14474,-1161,-9129,72,-205,40
1780139003.576739,0.189386,-2,17,-13321,258,-9120,-126,100,72,14195,-1370,-9121,83,-109,51
1780139003.593179,0.205826,-2,17,-13452,316,-9087,-23,-91,38,14340,-1379,-9127,-44,93,16
1780139003.609546,0.222193,-2,17,-13562,198,-9075,43,-144,6,14514,-1223,-9171,-91,122,-12
1780139003.625823,0.238470,-2,17,-13832,-203,-8865,78,-156,-18,14842,-812,-9125,-102,85,-16
1780139003.642051,0.254698,-2,17,-13886,-381,-8857,-70,-13,81,14858,-695,-9170,-20,19,36
1780139003.658203,0.270850,-2,17,-13857,-68,-8908,-151,65,71,14697,-1119,-9050,128,-104,31
1780139003.673844,0.286491,-2,17,-13539,226,-9061,-93,89,64,14432,-1312,-9082,25,-124,63
1780139003.689664,0.302311,-2,17,-13493,198,-9111,-25,66,80,14289,-1250,-9125,-43,-77,72
1780139003.705813,0.318460,-2,17,-13507,30,-9067,5,-54,6,14406,-1108,-9191,-53,41,-24
1780139003.721548,0.334195,-2,17,-13563,-25,-8984,-5,-89,-4,14582,-1094,-9200,-22,64,-23
1780139003.737211,0.349858,-2,17,-13743,94,-8932,-88,-81,81,14703,-1215,-9089,68,34,63
1780139003.752806,0.365453,-2,17,-13826,192,-8932,-123,-31,95,14702,-1321,-9028,72,-21,76
1780139003.768594,0.381241,-2,17,-13738,387,-8946,-73,11,45,14594,-1486,-9023,11,-61,2
1780139003.784299,0.396946,-2,17,-13647,340,-8972,31,17,18,14477,-1247,-9098,-80,-55,-1
1780139003.799992,0.412639,-2,17,-13587,-24,-8973,40,-12,13,14468,-1072,-9162,-83,-35,12
1780139003.815532,0.428179,-2,17,-13545,-119,-9012,-34,-36,32,14531,-939,-9160,3,-6,19
1780139003.831204,0.443851,-2,17,-13617,-37,-9004,-91,-42,51,14537,-1046,-9152,45,4,36
1780139003.846830,0.459477,-2,17,-13659,112,-8977,-69,-37,69,14569,-1212,-9039,18,13,51
1780139003.862901,0.475548,-2,17,-13712,134,-8938,-41,-45,52,14564,-1193,-9028,-22,10,33
1780139003.879091,0.491738,-2,17,-13733,-73,-8916,8,-48,13,14650,-1066,-9038,-61,0,-2
1780139003.896833,0.509480,-2,17,-13738,-172,-8911,-25,-34,19,14688,-909,-9126,9,-34,31
1780139003.913264,0.525911,-2,17,-13716,-80,-8965,-97,24,62,14601,-1020,-9146,63,-69,47
1780139003.929564,0.542211,-2,17,-13588,172,-9117,-118,47,84,14412,-1282,-9120,63,-100,52
1780139003.945795,0.558442,-2,17,-13504,221,-9037,-79,20,75,14332,-1323,-9112,-7,-15,35
1780139003.961687,0.574334,-2,17,-13539,169,-8971,-34,-72,18,14402,-1285,-9060,-40,37,5
1780139003.977374,0.590021,-2,17,-13650,134,-8946,-31,-116,23,14715,-1172,-9067,-18,69,-2
