t_unix,t_rel_s,enc_m1,enc_m2,bus1_ax,bus1_ay,bus1_az,bus1_gx,bus1_gy,bus1_gz,bus3_ax,bus3_ay,bus3_az,bus3_gx,bus3_gy,bus3_gz
1780138666.328478,0.000000,80,0,-13735,84,-9118,-34,-1,50,14613,-1090,-9198,-1,-96,31
1780138666.350007,0.021530,80,0,-13555,44,-9130,-32,59,46,14357,-1075,-9248,2,-85,32
1780138666.371251,0.042773,80,0,-13427,6,-9068,-44,-48,51,14344,-1061,-9219,-1,9,15
1780138666.392478,0.064000,80,0,-13510,24,-9067,-45,-108,32,14561,-1069,-9205,7,71,18
1780138666.412955,0.084477,80,0,-13820,40,-9065,-58,-46,51,14696,-1122,-9192,-8,8,29
1780138666.433290,0.104812,80,0,-13692,58,-9069,-57,58,33,14568,-1129,-9239,7,-97,27
1780138666.453561,0.125083,80,0,-13433,135,-9120,-62,62,58,14366,-1191,-9278,37,-120,26
1780138666.474054,0.145577,80,0,-13381,141,-9091,-67,-27,43,14281,-1252,-9226,26,-12,28
1780138666.494355,0.165877,80,0,-13601,233,-9056,-42,-113,48,14518,-1300,-9158,1,59,19
1780138666.514594,0.186117,80,0,-13796,142,-9068,-12,-57,28,14661,-1212,-9201,-19,25,8
1780138666.534917,0.206439,80,0,-13682,37,-9058,-38,28,40,14607,-1141,-9195,-1,-57,24
1780138666.555190,0.226712,80,0,-13596,38,-9087,-78,48,55,14404,-1175,-9223,27,-84,28
1780138666.575966,0.247488,80,0,-13477,127,-9162,-35,-20,37,14347,-1167,-9213,-2,-18,31
1780138666.596242,0.267765,80,0,-13574,-14,-9114,-10,-91,39,14451,-1087,-9195,-38,37,20
1780138666.616427,0.287949,80,0,-13696,-40,-9087,-30,-63,52,14591,-987,-9224,-4,39,35
1780138666.636726,0.308248,80,0,-13704,52,-9095,-75,5,35,14609,-1068,-9192,24,-35,34
1780138666.657040,0.328562,80,0,-13594,141,-9075,-62,27,49,14437,-1140,-9233,15,-68,27
1780138666.677281,0.348803,80,0,-13521,135,-9083,-46,-8,40,14405,-1177,-9235,-11,-48,15
1780138666.697543,0.369065,80,0,-13519,110,-9092,-53,-40,36,14437,-1165,-9218,7,8,22
1780138666.717852,0.389374,80,0,-13661,153,-9089,-64,-38,55,14523,-1193,-9241,11,9,24
1780138666.738930,0.410453,80,0,-13636,209,-9089,-55,1,43,14493,-1251,-9199,22,-38,32
1780138666.759218,0.430740,80,0,-13557,136,-9134,-18,-9,36,14487,-1216,-9261,-7,-43,11
1780138666.779399,0.450922,80,0,-13574,100,-9060,-25,-23,37,14453,-1136,-9216,-21,-7,22
1780138666.799644,0.471166,80,0,-13620,57,-9109,-43,-36,47,14530,-1108,-9235,8,-11,20
1780138666.819885,0.491408,80,0,-13603,80,-9127,-56,-16,49,14526,-1159,-9241,12,-25,34
1780138666.840466,0.511989,80,0,-13588,3,-9105,-46,-12,51,14520,-1124,-9200,-6,-28,19
1780138666.860711,0.532233,80,0,-13579,-21,-9088,-43,-29,43,14443,-1052,-9203,4,-7,20
1780138666.881024,0.552546,80,0,-13612,95,-9083,-61,-36,51,14510,-1102,-9196,9,-5,8
1780138666.901341,0.572863,80,0,-13673,131,-9116,-51,-9,53,14567,-1152,-9221,26,-21,36
1780138666.921638,0.593160,80,0,-13565,140,-9114,-48,28,43,14501,-1191,-9199,-5,-54,22
1780138666.942190,0.613712,80,0,-13515,154,-9079,-52,-10,34,14398,-1198,-9230,10,-48,30
1780138666.962472,0.633995,80,0,-13576,177,-9055,-52,-47,45,14418,-1214,-9206,21,-14,15
1780138666.982690,0.654212,80,0,-13637,174,-9095,-51,-48,46,14519,-1225,-9176,-4,3,34
1780138667.003038,0.674561,80,0,-13671,129,-9059,-33,-24,49,14548,-1192,-9205,-13,-28,27
1780138667.023540,0.695063,80,0,-13612,41,-9082,-46,13,45,14467,-1105,-9246,2,-46,28
1780138667.044652,0.716174,80,0,-13571,62,-9058,-54,-2,42,14435,-1125,-9209,-5,-33,23
1780138667.064993,0.736516,80,0,-13606,65,-9123,-45,-31,46,14494,-1098,-9213,12,11,27
1780138667.085266,0.756788,80,0,-13621,41,-9072,-30,-32,42,14552,-1071,-9188,-10,9,27
1780138667.105589,0.777112,80,0,-13673,11,-9086,-45,-12,51,14556,-1098,-9225,-1,-29,18
