t_unix,t_rel_s,enc_m1,enc_m2,bus1_ax,bus1_ay,bus1_az,bus1_gx,bus1_gy,bus1_gz,bus3_ax,bus3_ay,bus3_az,bus3_gx,bus3_gy,bus3_gz
1780139799.883301,0.000000,-15,11,-13804,-807,-8882,-233,116,83,14519,-402,-9026,189,-162,16
1780139799.899809,0.016508,-15,11,-13416,-391,-8946,-157,57,64,14443,-621,-8946,134,-131,21
1780139799.916055,0.032754,-15,11,-13413,-439,-8878,-29,-44,97,14309,-498,-8837,-99,68,71
1780139799.932276,0.048975,-15,11,-13861,-793,-8605,136,-267,-42,14882,-101,-8780,-187,259,-126
1780139799.948432,0.065131,-15,11,-14019,-1073,-8560,60,-221,-23,15265,176,-8744,-149,234,-117
1780139799.964107,0.080806,-15,11,-14377,-1266,-8327,-51,-65,139,15236,133,-8790,62,-40,139
1780139799.979723,0.096422,-15,11,-14167,-706,-8650,-215,178,34,15111,-183,-8784,145,-157,72
1780139799.995463,0.112162,-15,11,-13744,-569,-8828,-181,256,-19,14587,-431,-8906,86,-301,-12
1780139800.011066,0.127765,-15,11,-13273,-700,-8940,3,138,124,14313,-382,-8946,-65,-119,104
1780139800.026844,0.143543,-15,11,-13346,-848,-8929,37,2,101,14158,-158,-9128,-46,33,41
1780139800.042772,0.159471,-15,11,-13669,-820,-8916,-49,-201,-53,14762,-215,-9039,1,162,-70
1780139800.058512,0.175211,-15,11,-13867,-803,-8918,-59,-170,-11,14939,-189,-8979,-14,115,-1
1780139800.074208,0.190907,-15,11,-14003,-906,-8875,-23,-10,90,14778,-111,-8999,-38,-61,48
1780139800.089847,0.206546,-15,11,-13876,-957,-8828,-35,74,17,14661,-120,-8954,-25,-103,2
1780139800.105496,0.222195,-15,11,-13510,-959,-8791,-41,55,59,14462,-86,-8988,2,-54,61
1780139800.121188,0.237887,-15,11,-13596,-922,-8813,-99,-76,51,14466,-156,-8921,34,3,53
1780139800.136863,0.253562,-15,11,-13802,-687,-8801,-107,-102,21,14755,-371,-8845,51,73,-5
1780139800.152582,0.269281,-15,11,-13938,-699,-8733,-11,-63,36,14868,-257,-8842,-54,17,25
1780139800.168216,0.284914,-15,11,-13947,-785,-8666,3,-45,41,14830,-183,-8779,-55,-9,25
1780139800.183954,0.300653,-15,11,-13842,-931,-8596,-29,-28,31,14781,-106,-8788,-11,-18,1
1780139800.199717,0.316416,-15,11,-13818,-935,-8636,-40,-26,46,14781,-132,-8783,10,-17,22
1780139800.216757,0.333456,-15,11,-13880,-838,-8719,-77,-13,48,14808,-222,-8825,32,-20,32
1780139800.232710,0.349409,-15,11,-13862,-790,-8691,-62,14,51,14792,-212,-8855,3,-57,23
1780139800.248305,0.365004,-15,11,-13820,-801,-8787,-44,8,50,14717,-266,-8914,0,-55,23
1780139800.264155,0.380854,-15,11,-13789,-803,-8880,-50,45,56,14595,-168,-9000,4,-72,36
1780139800.280017,0.396716,-15,11,-13685,-832,-8889,-56,30,45,14519,-151,-9047,-7,-63,15
1780139800.295783,0.412482,-15,11,-13576,-881,-8938,-40,-5,52,14486,-137,-9088,-4,-16,20
1780139800.311613,0.428312,-15,11,-13576,-895,-8918,-48,-42,53,14517,-171,-9051,10,13,17
1780139800.327461,0.444160,-15,11,-13784,-773,-8836,-40,-87,44,14696,-265,-8968,5,47,21
1780139800.343215,0.459914,-15,11,-13863,-786,-8760,-36,-80,49,14760,-245,-8958,-16,15,10
1780139800.358971,0.475670,-15,11,-13878,-898,-8791,-22,-22,26,14752,-121,-8918,-25,-13,17
1780139800.374784,0.491483,-15,11,-13782,-948,-8787,-63,-10,59,14650,-96,-8870,5,-36,47
1780139800.390581,0.507280,-15,11,-13766,-918,-8723,-80,-22,64,14659,-175,-8861,27,-8,45
1780139800.406142,0.522841,-15,11,-13813,-751,-8695,-76,-68,45,14779,-345,-8760,35,30,20
1780139800.422017,0.538716,-15,11,-13967,-660,-8692,-55,-55,30,14843,-376,-8754,4,27,12
1780139800.437924,0.554623,-15,11,-13917,-790,-8691,2,-8,33,14837,-211,-8823,-44,-22,9
1780139800.453708,0.570407,-15,11,-13843,-890,-8690,-2,12,32,14765,-103,-8872,-50,-49,21
1780139800.469472,0.586171,-15,11,-13748,-937,-8732,-57,33,51,14674,-39,-8893,6,-49,45
1780139800.485283,0.601982,-15,11,-13751,-887,-8812,-75,40,56,14631,-196,-8991,37,-49,39
1780139800.500986,0.617685,-15,11,-13719,-806,-8891,-77,34,55,14613,-229,-8992,33,-60,37
1780139800.516728,0.633427,-15,11,-13682,-817,-8934,-58,-4,49,14547,-254,-9032,-2,-27,15
1780139800.532509,0.649208,-15,11,-13658,-804,-8903,-45,-25,34,14569,-248,-8984,-4,-10,19
1780139800.548235,0.664934,-15,11,-13716,-802,-8882,-50,-48,49,14607,-260,-8984,4,19,22
1780139800.563985,0.680684,-15,11,-13783,-817,-8816,-37,-54,33,14652,-218,-8936,-9,33,8
1780139800.579688,0.696387,-15,11,-13844,-886,-8741,-10,-55,24,14780,-162,-8865,-40,36,2
1780139800.595417,0.712116,-15,11,-13832,-925,-8691,-7,-56,38,14774,-94,-8860,-16,15,32
1780139800.611098,0.727797,-15,11,-13837,-920,-8679,-62,-23,53,14785,-112,-8865,18,-3,40
1780139800.626852,0.743551,-15,11,-13914,-796,-8660,-85,-18,59,14807,-302,-8837,63,-26,34
