t_unix,t_rel_s,enc_m1,enc_m2,bus1_ax,bus1_ay,bus1_az,bus1_gx,bus1_gy,bus1_gz,bus3_ax,bus3_ay,bus3_az,bus3_gx,bus3_gy,bus3_gz
1780138555.765092,0.000000,3,-1,337,402,-16621,-51,435,41,71,-1530,-16219,-1,-509,29
1780138555.786731,0.021639,3,-1,419,356,-16630,-35,330,40,59,-1427,-16204,9,-346,23
1780138555.808066,0.042974,3,-1,262,298,-16656,-48,254,42,242,-1464,-16214,-5,-273,41
1780138555.829384,0.064292,3,-1,264,366,-16666,-63,244,53,209,-1531,-16213,9,-281,34
1780138555.850758,0.085666,3,-1,209,386,-16618,-58,254,43,238,-1566,-16244,6,-304,31
1780138555.871144,0.106053,3,-1,183,429,-16622,-47,269,46,257,-1548,-16222,7,-337,21
1780138555.891340,0.126249,3,-1,328,382,-16656,-49,279,37,124,-1522,-16225,5,-327,35
1780138555.911607,0.146516,3,-1,364,371,-16656,-55,247,59,77,-1532,-16209,4,-268,39
1780138555.931864,0.166773,3,-1,353,411,-16627,-38,190,38,60,-1569,-16201,-2,-228,10
1780138555.952382,0.187290,3,-1,454,394,-16642,-48,148,45,2,-1510,-16242,-8,-182,29
1780138555.972652,0.207560,3,-1,406,356,-16620,-41,92,41,99,-1498,-16213,12,-128,25
1780138555.992893,0.227801,3,-1,350,369,-16645,-56,63,47,111,-1481,-16205,13,-96,35
1780138556.013217,0.248125,3,-1,314,368,-16645,-47,32,51,135,-1510,-16229,5,-82,21
1780138556.033631,0.268539,3,-1,337,375,-16647,-42,32,28,138,-1489,-16222,5,-70,13
1780138556.054165,0.289073,3,-1,294,381,-16602,-60,51,49,183,-1501,-16272,15,-109,27
1780138556.074505,0.309413,3,-1,258,387,-16657,-58,94,50,220,-1497,-16245,4,-139,42
1780138556.095093,0.330002,3,-1,195,360,-16622,-48,144,57,239,-1509,-16256,10,-208,25
1780138556.115518,0.350426,3,-1,244,363,-16670,-42,212,27,185,-1502,-16254,3,-260,20
1780138556.135801,0.370709,3,-1,366,398,-16601,-48,224,43,87,-1566,-16239,-7,-278,29
1780138556.158520,0.393429,3,-1,527,402,-16633,-47,204,44,-74,-1541,-16212,2,-246,28
1780138556.178902,0.413810,3,-1,571,392,-16675,-41,113,48,-131,-1530,-16235,1,-149,39
1780138556.199142,0.434051,3,-1,497,365,-16608,-43,12,35,-40,-1497,-16228,3,-54,33
1780138556.219433,0.454341,3,-1,483,357,-16638,-45,-61,50,3,-1530,-16241,4,18,19
1780138556.239703,0.474611,3,-1,510,338,-16662,-54,-122,36,-37,-1519,-16188,13,72,21
1780138556.260069,0.494977,3,-1,376,375,-16610,-57,-166,59,74,-1535,-16245,-7,97,17
1780138556.280397,0.515305,3,-1,179,383,-16657,-44,-115,38,245,-1550,-16221,16,17,19
1780138556.300596,0.535504,3,-1,141,399,-16628,-53,1,37,277,-1506,-16212,11,-78,26
1780138556.320879,0.555787,3,-1,233,353,-16673,-45,71,52,246,-1498,-16242,-8,-150,23
1780138556.341224,0.576132,3,-1,272,376,-16641,-54,125,40,159,-1516,-16257,20,-204,28
1780138556.362522,0.597430,3,-1,294,347,-16627,-64,183,46,143,-1551,-16190,31,-265,20
1780138556.382834,0.617742,3,-1,276,422,-16654,-44,234,44,190,-1567,-16223,18,-319,34
1780138556.403061,0.637969,3,-1,312,390,-16687,-47,313,48,58,-1512,-16275,5,-368,34
1780138556.423343,0.658251,3,-1,407,406,-16590,-50,333,46,37,-1572,-16217,0,-370,36
1780138556.443660,0.678569,3,-1,396,365,-16637,-38,339,42,-20,-1533,-16243,-2,-383,27
1780138556.464978,0.699886,3,-1,567,314,-16673,-30,306,31,-101,-1483,-16207,11,-371,29
1780138556.485417,0.720325,3,-1,578,383,-16666,-47,243,54,-119,-1516,-16218,-11,-285,25
1780138556.505644,0.740552,3,-1,589,418,-16632,-54,189,50,-92,-1573,-16209,17,-245,42
1780138556.526002,0.760910,3,-1,387,420,-16661,-49,187,40,47,-1551,-16219,10,-229,26
1780138556.546335,0.781244,3,-1,305,388,-16610,-52,256,30,143,-1518,-16255,15,-291,17
1780138556.567018,0.801927,3,-1,333,350,-16639,-35,326,44,66,-1454,-16236,6,-367,21
1780138556.587413,0.822321,3,-1,471,286,-16635,-63,382,58,-46,-1448,-16195,16,-416,52
1780138556.607606,0.842514,3,-1,498,400,-16667,-66,440,54,-41,-1546,-16154,33,-478,31
1780138556.627909,0.862818,3,-1,538,405,-16659,-56,479,31,-122,-1530,-16241,13,-528,25
1780138556.648194,0.883102,3,-1,591,362,-16654,-48,467,38,-186,-1552,-16222,11,-506,36
1780138556.669399,0.904307,3,-1,579,522,-16619,-21,444,33,-45,-1632,-16230,-16,-480,27
1780138556.689782,0.924691,3,-1,454,410,-16693,-44,515,19,9,-1477,-16300,-3,-543,27
1780138556.709989,0.944897,3,-1,749,401,-16624,-57,505,22,-289,-1590,-16209,10,-548,3
1780138556.730369,0.965277,3,-1,786,399,-16661,-38,412,51,-322,-1505,-16216,19,-485,29
1780138556.750687,0.985595,3,-1,802,335,-16592,-64,363,20,-337,-1476,-16206,2,-390,18
1780138556.772204,1.007112,3,-1,725,314,-16668,-43,353,8,-279,-1468,-16168,5,-396,14
1780138556.792602,1.027511,3,-1,762,369,-16732,-46,443,0,-351,-1454,-16272,-3,-462,0
1780138556.813052,1.047961,3,-1,1501,302,-16672,-46,416,-55,-735,-1437,-16276,-12,-494,-62
1780138556.833582,1.068490,3,-1,1707,413,-16671,-52,-102,-53,-1361,-1477,-16216,2,-94,-95
