t_unix,t_rel_s,enc_m1,enc_m2,bus1_ax,bus1_ay,bus1_az,bus1_gx,bus1_gy,bus1_gz,bus3_ax,bus3_ay,bus3_az,bus3_gx,bus3_gy,bus3_gz
1780139676.536782,0.000000,16,-13,-13909,-1021,-8587,-38,-34,25,14866,-54,-8736,-17,14,27
1780139676.552794,0.016012,16,-13,-13937,-1034,-8586,-61,-13,59,14878,-58,-8768,19,-23,27
1780139676.568543,0.031761,16,-13,-13940,-964,-8593,-44,-2,46,14856,-138,-8708,9,-35,35
1780139676.584332,0.047550,16,-13,-13887,-896,-8604,-49,-2,52,14765,-150,-8705,-10,-38,17
1780139676.600079,0.063298,16,-13,-13816,-950,-8584,-40,1,48,14760,-103,-8724,-1,4,14
1780139676.615780,0.078999,16,-13,-13849,-920,-8589,-37,-45,38,14799,-105,-8723,-1,7,32
1780139676.631386,0.094604,16,-13,-13926,-929,-8618,-43,-52,36,14872,-97,-8673,-2,17,18
1780139676.647088,0.110306,16,-13,-14002,-972,-8569,-36,-20,45,14906,-104,-8683,-11,-4,24
1780139676.662796,0.126014,16,-13,-13959,-965,-8584,-49,-14,38,14862,-84,-8730,2,-44,17
1780139676.678559,0.141778,16,-13,-13884,-968,-8600,-50,31,58,14843,-94,-8696,13,-39,21
1780139676.694286,0.157505,16,-13,-13847,-909,-8601,-62,16,49,14755,-119,-8769,8,-39,23
1780139676.710027,0.173245,16,-13,-13790,-908,-8644,-41,-11,49,14743,-123,-8787,-11,-18,9
1780139676.725755,0.188973,16,-13,-13833,-909,-8656,-43,-39,33,14786,-84,-8768,2,-4,17
1780139676.741501,0.204719,16,-13,-13906,-952,-8657,-39,-38,34,14817,-55,-8752,7,-5,19
1780139676.757227,0.220445,16,-13,-13892,-1011,-8606,-58,-6,52,14835,-71,-8778,-4,-17,23
1780139676.772904,0.236122,16,-13,-13923,-989,-8645,-57,-12,48,14795,-101,-8748,11,-26,20
1780139676.788634,0.251852,16,-13,-13826,-918,-8629,-54,-3,35,14780,-83,-8757,7,-29,19
1780139676.804398,0.267616,16,-13,-13838,-939,-8621,-39,-27,20,14773,-90,-8731,-12,-19,15
1780139676.820081,0.283299,16,-13,-13840,-970,-8609,-42,-34,49,14774,-46,-8734,-4,-5,23
1780139676.835759,0.298978,16,-13,-13894,-987,-8559,-52,-41,53,14871,-55,-8699,-7,-7,32
1780139676.851431,0.314649,16,-13,-13946,-915,-8589,-60,-35,53,14857,-73,-8735,10,-15,26
1780139676.867133,0.330352,16,-13,-13921,-887,-8560,-63,-26,46,14876,-166,-8677,14,-28,30
1780139676.882887,0.346105,16,-13,-13897,-878,-8541,-58,8,57,14802,-167,-8662,0,-40,18
1780139676.898654,0.361873,16,-13,-13881,-923,-8538,-23,-13,36,14778,-146,-8696,-5,-27,14
1780139676.914413,0.377631,16,-13,-13854,-915,-8548,-30,-32,44,14858,-97,-8653,-10,5,30
1780139676.930117,0.393336,16,-13,-13911,-930,-8572,-43,-40,46,14899,-113,-8670,1,12,25
1780139676.945976,0.409194,16,-13,-14015,-903,-8589,-51,-32,41,14923,-80,-8704,-12,-10,20
1780139676.961808,0.425026,16,-13,-13944,-960,-8564,-49,9,56,14935,-29,-8753,-8,-33,23
1780139676.977576,0.440794,16,-13,-13866,-944,-8624,-56,33,39,14781,-106,-8757,1,-76,35
1780139676.993369,0.456587,16,-13,-13732,-916,-8643,-45,18,52,14655,-147,-8798,-13,-27,20
1780139677.009155,0.472373,16,-13,-13717,-912,-8657,-33,-12,42,14679,-85,-8820,-3,1,20
1780139677.025139,0.488357,16,-13,-13855,-968,-8600,-32,-72,44,14801,-73,-8718,-17,37,20
1780139677.041105,0.504323,16,-13,-13937,-1003,-8604,-47,-47,40,14889,-45,-8739,-19,17,11
1780139677.056872,0.520090,16,-13,-13953,-997,-8564,-50,-10,50,14903,-69,-8742,2,-30,22
1780139677.072613,0.535831,16,-13,-13923,-1032,-8609,-66,36,53,14819,-60,-8769,-1,-51,26
1780139677.088422,0.551640,16,-13,-13798,-972,-8642,-55,21,68,14695,-103,-8799,8,-56,25
1780139677.104311,0.567529,16,-13,-13759,-870,-8631,-61,-33,47,14690,-132,-8768,5,4,23
1780139677.120076,0.583294,16,-13,-13797,-856,-8598,-54,-58,42,14772,-190,-8729,-4,36,20
1780139677.135778,0.598996,16,-13,-14044,-847,-8545,-29,-86,37,14936,-158,-8665,-17,34,20
1780139677.151475,0.614693,16,-13,-14007,-908,-8582,-19,-58,39,14933,-100,-8634,-16,11,12
1780139677.167175,0.630393,16,-13,-14007,-990,-8510,-31,0,47,14930,-25,-8675,4,-27,18
1780139677.182875,0.646093,16,-13,-13996,-1015,-8480,-36,13,52,14918,-76,-8645,4,-49,14
1780139677.198605,0.661823,16,-13,-13898,-910,-8530,-59,15,53,14803,-152,-8678,5,-38,36
1780139677.214322,0.677541,16,-13,-13893,-922,-8597,-58,-6,39,14797,-136,-8718,-2,-48,23
1780139677.230030,0.693248,16,-13,-13840,-888,-8652,-55,-1,49,14768,-115,-8724,-9,-36,14
1780139677.245740,0.708958,16,-13,-13863,-879,-8669,-41,-4,34,14756,-127,-8801,-5,-27,22
1780139677.261457,0.724676,16,-13,-13763,-970,-8675,-46,-12,43,14753,-75,-8789,-2,-40,17
1780139677.277176,0.740394,16,-13,-13825,-1033,-8683,-36,-31,35,14738,10,-8836,-16,6,8
1780139677.292929,0.756147,16,-13,-13843,-1076,-8643,-46,-32,46,14815,19,-8791,2,7,18
1780139677.308693,0.771912,16,-13,-13908,-959,-8629,-64,-18,39,14843,-91,-8787,19,-12,27
1780139677.324439,0.787657,16,-13,-13924,-933,-8619,-66,-6,48,14811,-105,-8794,6,-23,27
1780139677.340122,0.803341,16,-13,-13827,-916,-8653,-47,-2,59,14795,-124,-8747,7,-21,32
1780139677.355820,0.819038,16,-13,-13803,-909,-8630,-50,-23,40,14739,-132,-8718,-7,13,16
1780139677.371570,0.834788,16,-13,-13916,-926,-8571,-46,-57,42,14786,-101,-8699,-14,23,9
1780139677.387288,0.850506,16,-13,-13937,-954,-8555,-39,-69,43,14973,-73,-8695,-11,30,12
1780139677.403004,0.866223,16,-13,-14050,-952,-8479,-49,-36,37,14993,-100,-8683,-3,1,5
1780139677.418692,0.881911,16,-13,-14037,-931,-8487,-50,12,51,14908,-154,-8649,10,-43,27
1780139677.434345,0.897563,16,-13,-13903,-881,-8532,-64,32,50,14866,-174,-8683,8,-57,28
1780139677.450091,0.913309,16,-13,-13816,-890,-8633,-47,6,45,14760,-158,-8749,-2,-48,21
1780139677.465805,0.929024,16,-13,-13874,-932,-8601,-40,-8,46,14748,-141,-8735,-4,-3,21
1780139677.481555,0.944773,16,-13,-13852,-993,-8635,-45,-35,43,14816,-73,-8755,-11,2,20
1780139677.497264,0.960482,16,-13,-13866,-1030,-8617,-47,-39,47,14836,-71,-8807,-4,-13,17
