t_unix,t_rel_s,enc_m1,enc_m2,bus1_ax,bus1_ay,bus1_az,bus1_gx,bus1_gy,bus1_gz,bus3_ax,bus3_ay,bus3_az,bus3_gx,bus3_gy,bus3_gz
1780139844.234725,0.000000,270,-352,-1649,-774,-16540,-41,108,37,2120,-316,-16279,7,-147,33
1780139844.250606,0.015881,270,-352,-1685,-812,-16519,-50,81,53,2145,-349,-16290,9,-127,37
1780139844.266355,0.031630,270,-352,-1761,-813,-16501,-60,88,34,2268,-354,-16282,11,-133,29
1780139844.282105,0.047380,270,-352,-1790,-789,-16548,-46,112,36,2281,-358,-16276,20,-155,12
1780139844.297816,0.063092,270,-352,-1733,-803,-16538,-69,173,31,2177,-385,-16299,22,-201,9
1780139844.313498,0.078773,270,-352,-1699,-787,-16553,-53,182,37,2178,-377,-16318,-1,-240,21
1780139844.329180,0.094455,270,-352,-1640,-785,-16567,-39,225,40,2147,-357,-16303,-2,-249,19
1780139844.344790,0.110065,270,-352,-1626,-818,-16551,-50,235,47,2126,-322,-16362,13,-281,26
1780139844.360550,0.125825,270,-352,-1608,-802,-16547,-52,258,32,2112,-343,-16340,9,-274,29
1780139844.376341,0.141616,270,-352,-1553,-755,-16547,-53,255,48,2059,-371,-16292,-4,-273,16
1780139844.392017,0.157292,270,-352,-1588,-799,-16533,-50,216,22,2096,-360,-16370,-5,-252,16
1780139844.407658,0.172934,270,-352,-1598,-819,-16523,-43,175,50,2082,-312,-16326,-4,-213,25
1780139844.423308,0.188583,270,-352,-1592,-795,-16533,-51,155,49,2026,-348,-16308,-12,-193,16
1780139844.438957,0.204232,270,-352,-1589,-812,-16532,-50,128,48,2105,-369,-16360,3,-151,34
1780139844.454597,0.219873,270,-352,-1585,-770,-16531,-57,122,53,2064,-357,-16334,-4,-164,19
1780139844.470308,0.235583,270,-352,-1620,-832,-16563,-46,143,30,2105,-322,-16302,9,-168,31
1780139844.486028,0.251303,270,-352,-1689,-830,-16586,-39,171,24,2299,-364,-16317,-3,-255,8
1780139844.501722,0.266997,270,-352,-1963,-778,-16537,-50,322,9,2480,-368,-16288,8,-350,-19
1780139844.517395,0.282670,270,-352,-2021,-832,-16578,-45,427,40,2428,-374,-16312,-7,-569,43
1780139844.533029,0.298304,270,-352,-1845,-771,-16521,-51,671,57,2320,-375,-16283,-1,-676,43
1780139844.548705,0.313980,270,-352,-1704,-826,-16503,-45,740,53,2185,-333,-16315,11,-819,27
1780139844.564353,0.329629,270,-352,-1779,-796,-16594,-66,849,24,2240,-339,-16323,11,-874,15
